漢字,読み,例文
含意,がんい,有力な真理候補である通説と、政治的・倫理的な判断との間に、自然な（含意）や推論の関係があると信ずることができたのである。
推論,すいろん,有力な真理候補である通説と、政治的・倫理的な判断との間に、自然な含意や（推論）の関係があると信ずることができたのである。
拡張,かくちょう,リスクをめぐる科学的な知の蓄積は、見解の間の分散や懸隔を（拡張）していく傾向がある。
伴う,ともなう,リスクは、選択・決定に（伴う）不確実性（の認知）に関連しているのだ。
律する,りっする,社会秩序を（律する）規範やその環境が、人間の選択の産物であるとの自覚が確立した後でなければ、
相関,そうかん,リスクは、選択・決定との（相関）でのみ現れる。
自覚,じかく,人間の選択の産物であるとの（自覚）が確立した後でなければ、
見積もる,みつもる,その確率は、非常に低いと（見積もら）ざるをえない。
我慢,がまん,何のために石油の使用を（我慢）しているのか分からない。
基盤,きばん,こうした態勢は、民主主義的な決定の（基盤）を切り崩すことになる。
成し遂げる,なしとげる,知から実践的な選択への移行は、あからさまな飛躍によってしか（成し遂げ）られないのだ。
躊躇,ちゅうちょ,僕は（躊躇）なく、「コンクリートの時代でした。」と答える。
珪藻土,けいそうど,自然派、エコロジー派を気取りたい時には、木の板を貼るだけで、（珪藻土）を薄塗りすればいいのである。
断末魔,だんまつま,コンクリートとは消えゆく不安定なものたちの、（断末魔）の叫び声である。
足枷,あしかせ,固定化は不安定なものに不自然な（足枷）をはめるだけである。
普遍的,ふへんてき,コンクリートほど（普遍的）な建築技術は、かつて歴史上存在しなかった。
想起,そうき,日本の伝統建築の木組みを（想起）させる傑作、香川県庁舎をはじめとして、
表層,ひょうそう,この形の自由にプラスして、（表層）の自由というオマケもついてくる。
地縁,ちえん,従来の（地縁）、血縁が崩壊し、近代家族という孤立した単位が、大きな海を漂流しはじめたのが二〇世紀であった。
血縁,けつえん,従来の地縁、（血縁）が崩壊し、近代家族という孤立した単位が、大きな海を漂流しはじめたのが二〇世紀であった。
確固,かっこ,近代家族という不確かで不安定な存在に対して、何らかの（確固）たる形を与えるため、
崩壊,ほうかい,地縁、血縁が（崩壊）したことで不安定になってしまった自分を、コンクリートというがちがちのもので再びかためたいと願ったのである。
彫刻,ちょうこく,空に浮かぶ巨大な（彫刻）のような自由な造型ができたわけだし、
傑作,けっさく,日本の伝統建築の木組みを想起させる（傑作）、香川県庁舎をはじめとして、その作品の大部分はコンクリートである。
尊敬,そんけい,彼らは地域文化を（尊敬）し、風土を尊重する偉大な建築家ではあったが、
豪華,ごうか,（豪華）で、お金がかかったふうな建物にしたい時は、コンクリートの上に薄い石を貼り付ければいい。
圧倒的,あっとうてき,それほどに（圧倒的）な普遍性があり、しかもコンクリートはめっぽう強い建築素材でもある。
普及,ふきゅう,そんな万能の素材が、二〇世紀に（普及）しないはずがなかった。
哲学,てつがく,その技術の裏にひそむ単一の（哲学）によって、同一化してしまうということである。
同一化,どういつか,あらゆる場所をコンクリートというひとつの技術、その技術の裏にひそむ単一の哲学によって、（同一化）してしまうということである。
破壊,はかい,多様な場所、多様な自然が、コンクリートという単一の技術の力で、（破壊）されてしまうのである。
多様性,たようせい,そのようにして、自然の（多様性）が失われただけではなく、建築の多様性も失われたのである。
対照的,たいしょうてき,木造建築の時間は、それとは（対照的）である。
劣化,れっか,生活の変化に従って、あるいは部材の（劣化）に従って、少しずつ手直しし、少しずつ取りかえ、少しずつ変化していく。
漂流,ひょうりゅう,近代家族という孤立した単位が、大きな海を（漂流）しはじめたのが二〇世紀であった。
収容,しゅうよう,コンクリート製のマンションという、かたい器のなかに（収容）することによって、存在の不安定を「固定」しようとした。
解消,かいしょう,あらゆる共同体が、コンクリートによる固定化で明確な「形」を獲得することによって、その存在の不安定を、（解消）しようとした。
欲求,よっきゅう,そういう人々の（欲求）にコンクリートは、最適の素材であるかに見えたのである。
最適,さいてき,そういう人々の欲求にコンクリートは、（最適）の素材であるかに見えたのである。
柔軟性,じゅうなんせい,不安定なものがもっとも必要としているのは（柔軟性）のはずである。
覆う,おおう,ひとつの技術で世界を（覆い）つくし、世界をひとつにすることがこの時代のテーマであった。
骨組み,ほねぐみ,もちろんストレートでシャープな（骨組み）を作ることも簡単である。
揺るぎない,ゆるぎない,多様な表面のお化粧のうしろ側には、コンクリートという単一の（揺るぎない）本質がひそんでいるということに他ならない。
遂げる,とげる,ある瞬間、突然に信じられないほどかたく、強い物質へと変身を（遂げる）。
懸命,けんめい,たとえば核家族が住まうための家を建てることに、二〇世紀の人々は（懸命）になった。
願望,がんぼう,二〇世紀の給与生活者の夢は、「持ち家」への（願望）である。
無用,むよう,もはや誰もが必要としていない（無用）の存在としての共同体に対する、さらなる不必要な出費であった。
